,id,environment,round_instance,quality_check,start_time,end_time,latency
321,621738.0,low,12.0,1.0,1551895010981.0,1551895011146.0,170.0
322,621738.0,low,12.0,1.0,1551895011151.0,1551895011291.0,144.0
323,621738.0,low,12.0,1.0,1551895011295.0,1551895011466.0,179.0
324,621738.0,low,12.0,1.0,1551895011474.0,1551895011642.0,173.0
325,621738.0,low,12.0,1.0,1551895011647.0,1551895011819.0,50266.0
326,621738.0,low,12.0,1.0,1551895061913.0,1551895062812.0,905.0
327,621738.0,low,12.0,1.0,1551895062818.0,1551895062972.0,166.0
328,621738.0,low,12.0,1.0,1551895062984.0,1551895063149.0,174.0
329,621738.0,low,12.0,1.0,1551895063158.0,1551895063308.0,155.0
330,621738.0,low,12.0,1.0,1551895063313.0,1551895063485.0,182.0
331,621738.0,low,12.0,1.0,1551895063495.0,1551895063644.0,66473.0
332,621738.0,low,22.0,1.0,1551895129968.0,1551895130783.0,823.0
333,621738.0,low,22.0,1.0,1551895130791.0,1551895130911.0,132.0
334,621738.0,low,22.0,1.0,1551895130923.0,1551895131054.0,141.0
335,621738.0,low,22.0,1.0,1551895131064.0,1551895131199.0,140.0
336,621738.0,low,22.0,1.0,1551895131204.0,1551895131375.0,183.0
337,621738.0,low,22.0,1.0,1551895131387.0,1551895131535.0,160.0
338,621738.0,low,22.0,1.0,1551895131547.0,1551895131695.0,50737.0
339,621738.0,low,22.0,1.0,1551895182284.0,1551895182958.0,687.0
340,621738.0,low,22.0,1.0,1551895182971.0,1551895183089.0,125.0
341,621738.0,low,22.0,1.0,1551895183096.0,1551895183265.0,175.0
342,621738.0,low,22.0,1.0,1551895183271.0,1551895183441.0,181.0
343,621738.0,low,22.0,1.0,1551895183452.0,1551895183617.0,177.0
344,621738.0,low,22.0,1.0,1551895183629.0,1551895183777.0,163.0
345,621738.0,low,22.0,1.0,1551895183792.0,1551895183953.0,168.0
346,621738.0,low,22.0,1.0,1551895183960.0,1551895184129.0,37543.0
347,621738.0,low,22.0,1.0,1551895221503.0,1551895222467.0,973.0
348,621738.0,low,22.0,1.0,1551895222476.0,1551895222579.0,109.0
349,621738.0,low,22.0,1.0,1551895222585.0,1551895222739.0,161.0
350,621738.0,low,22.0,1.0,1551895222746.0,1551895222882.0,148.0
351,621738.0,low,22.0,1.0,1551895222894.0,1551895223042.0,154.0
352,621738.0,low,22.0,1.0,1551895223048.0,1551895223202.0,171.0
353,621738.0,low,22.0,1.0,1551895223219.0,1551895223379.0,-321264.0
354,621762.0,high,11.0,1.0,1551894901955.0,1551894902538.0,585.0
355,621762.0,high,11.0,1.0,1551894902540.0,1551894902667.0,129.0
356,621762.0,high,11.0,1.0,1551894902669.0,1551894902784.0,117.0
357,621762.0,high,11.0,1.0,1551894902786.0,1551894902908.0,124.0
358,621762.0,high,11.0,1.0,1551894902910.0,1551894903039.0,130.0
359,621762.0,high,11.0,1.0,1551894903040.0,1551894903144.0,106.0
360,621762.0,high,11.0,1.0,1551894903146.0,1551894903250.0,51086.0
361,621762.0,high,11.0,1.0,1551894954232.0,1551894954867.0,638.0
362,621762.0,high,11.0,1.0,1551894954870.0,1551894955008.0,140.0
363,621762.0,high,11.0,1.0,1551894955010.0,1551894955154.0,145.0
364,621762.0,high,11.0,1.0,1551894955155.0,1551894955300.0,148.0
365,621762.0,high,11.0,1.0,1551894955303.0,1551894955435.0,134.0
366,621762.0,high,11.0,1.0,1551894955437.0,1551894955555.0,119.0
367,621762.0,high,11.0,1.0,1551894955556.0,1551894955692.0,50959.0
368,621762.0,high,11.0,1.0,1551895006515.0,1551895007080.0,566.0
369,621762.0,high,11.0,1.0,1551895007081.0,1551895007205.0,126.0
370,621762.0,high,11.0,1.0,1551895007207.0,1551895007335.0,129.0
371,621762.0,high,11.0,1.0,1551895007336.0,1551895007464.0,130.0
372,621762.0,high,11.0,1.0,1551895007466.0,1551895007597.0,84348.0
373,621762.0,high,21.0,1.0,1551895091814.0,1551895092471.0,661.0
374,621762.0,high,21.0,1.0,1551895092475.0,1551895092591.0,118.0
375,621762.0,high,21.0,1.0,1551895092593.0,1551895092727.0,136.0
