Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round instance,task,function id,rod fixing checked,builtin rt,end_time,start_time
2080,1.55E+12,19/02/2019 02:30:05,1.55E+12,8,19/02/2019 10:30:08,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,135,40,0.1,high-low,low,12,null,fishing_l,null,134.6860002,1550540000000.00,1550540000000.00
2081,1.55E+12,19/02/2019 02:30:05,1.55E+12,8,19/02/2019 10:30:08,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,107,40,0.1,high-low,low,12,null,fishing_l,null,107.1179998,1550540000000.00,1550540000000.00
2082,1.55E+12,19/02/2019 02:30:05,1.55E+12,8,19/02/2019 10:30:08,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,104,40,0.1,high-low,low,12,null,fishing_l,null,104.172,1550540000000.00,1550540000000.00
2083,1.55E+12,19/02/2019 02:30:05,1.55E+12,8,19/02/2019 10:30:09,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,118,40,0.1,high-low,low,12,null,fishing_l,null,119.3559999,1550540000000.00,1550540000000.00
2084,1.55E+12,19/02/2019 02:30:05,1.55E+12,8,19/02/2019 10:30:09,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,106,40,0.1,high-low,low,12,null,fishing_l,null,105.1020001,1550540000000.00,1550540000000.00
2085,1.55E+12,19/02/2019 02:30:06,1.55E+12,8,19/02/2019 10:30:09,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,136,40,0.1,high-low,low,12,null,fishing_l,null,134.881,1550540000000.00,1550540000000.00
2086,1.55E+12,19/02/2019 02:30:06,1.55E+12,8,19/02/2019 10:30:09,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,104,40,0.1,high-low,low,12,null,fishing_l,null,104.2599999,1550540000000.00,1550540000000.00
2087,1.55E+12,19/02/2019 02:30:06,1.55E+12,8,19/02/2019 10:30:10,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,74,40,0.1,high-low,low,12,null,fishing_l,null,74.72899999,1550540000000.00,1550540000000.00
2088,1.55E+12,19/02/2019 02:30:06,1.55E+12,8,19/02/2019 10:30:10,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,119.1159999,1550540000000.00,1550540000000.00
2089,1.55E+12,19/02/2019 02:30:06,1.55E+12,8,19/02/2019 10:30:10,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,94,40,0.1,high-low,low,12,null,fishing_l,null,94.07600015,1550540000000.00,1550540000000.00
2090,1.55E+12,19/02/2019 02:30:07,1.55E+12,8,19/02/2019 10:30:10,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,101,40,0.1,high-low,low,12,null,fishing_l,null,100.0909999,1550540000000.00,1550540000000.00
2091,1.55E+12,19/02/2019 02:30:07,1.55E+12,8,19/02/2019 10:30:10,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,119,40,0.1,high-low,low,12,null,fishing_l,null,119.2050001,1550540000000.00,1550540000000.00
2092,1.55E+12,19/02/2019 02:30:07,1.55E+12,8,19/02/2019 10:30:11,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,105,40,0.1,high-low,low,12,null,fishing_l,null,105.0779999,1550540000000.00,1550540000000.00
2093,1.55E+12,19/02/2019 02:30:08,1.55E+12,8,19/02/2019 10:30:11,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,158,40,0.7,high-low,low,12,null,fishing_l,null,157.9780001,1550540000000.00,1550540000000.00
2094,1.55E+12,19/02/2019 02:30:08,1.55E+12,8,19/02/2019 10:30:11,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,,,0.7,high-low,low,12,null,fishing_l,null,,,
2095,1.55E+12,19/02/2019 02:30:08,1.55E+12,8,19/02/2019 10:30:11,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,,,0.7,high-low,low,12,null,fishing_l,null,,,
2096,1.55E+12,19/02/2019 02:30:08,1.55E+12,8,19/02/2019 10:30:11,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,,,0.7,high-low,low,12,null,fishing_l,null,,,
2097,1.55E+12,19/02/2019 02:30:08,1.55E+12,8,19/02/2019 10:30:11,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,,,0.7,high-low,low,12,null,fishing_l,null,,,
2098,1.55E+12,19/02/2019 02:30:08,1.55E+12,8,19/02/2019 10:30:11,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,,,0.7,high-low,low,12,null,fishing_l,null,,,
2099,1.55E+12,19/02/2019 02:30:08,1.55E+12,8,19/02/2019 10:30:11,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,63,40,0.7,high-low,low,12,null,fishing_l,null,61.98200001,1550540000000.00,1550540000000.00
2100,1.55E+12,19/02/2019 02:30:08,1.55E+12,8,19/02/2019 10:30:11,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.7,high-low,low,12,null,fishing_l,null,119.2839998,1550540000000.00,1550540000000.00
2101,1.55E+12,19/02/2019 02:30:08,1.55E+12,8,19/02/2019 10:30:11,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.7,high-low,low,12,null,fishing_l,null,119.41,1550540000000.00,1550540000000.00
2102,1.55E+12,19/02/2019 02:30:08,1.55E+12,8,19/02/2019 10:30:12,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,106,40,0.7,high-low,low,12,null,fishing_l,null,105.363,1550540000000.00,1550540000000.00
2103,1.55E+12,19/02/2019 02:30:09,1.55E+12,8,19/02/2019 10:30:12,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.7,high-low,low,12,null,fishing_l,null,119.735,1550540000000.00,1550540000000.00
2104,1.55E+12,19/02/2019 02:30:09,1.55E+12,8,19/02/2019 10:30:12,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,104,40,0.7,high-low,low,12,null,fishing_l,null,104.362,1550540000000.00,1550540000000.00
2105,1.55E+12,19/02/2019 02:30:09,1.55E+12,8,19/02/2019 10:30:12,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,136,40,0.7,high-low,low,12,null,fishing_l,null,134.628,1550540000000.00,1550540000000.00
2106,1.55E+12,19/02/2019 02:30:09,1.55E+12,8,19/02/2019 10:30:13,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,108,40,0.7,high-low,low,12,null,fishing_l,null,106.7690002,1550540000000.00,1550540000000.00
2107,1.55E+12,19/02/2019 02:30:09,1.55E+12,8,19/02/2019 10:30:13,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,134,40,0.7,high-low,low,12,null,fishing_l,null,134.02,1550540000000.00,1550540000000.00
2108,1.55E+12,19/02/2019 02:30:10,1.55E+12,8,19/02/2019 10:30:13,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,134,40,0.7,high-low,low,12,null,fishing_l,null,134.42,1550540000000.00,1550540000000.00
2109,1.55E+12,19/02/2019 02:30:10,1.55E+12,8,19/02/2019 10:30:13,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,119,40,0.7,high-low,low,12,null,fishing_l,null,119.128,1550540000000.00,1550540000000.00
2110,1.55E+12,19/02/2019 02:30:10,1.55E+12,8,19/02/2019 10:30:14,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.7,high-low,low,12,null,fishing_l,null,120.203,1550540000000.00,1550540000000.00
2111,1.55E+12,19/02/2019 02:30:10,1.55E+12,8,19/02/2019 10:30:14,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,121,40,0.7,high-low,low,12,null,fishing_l,null,120.3919998,1550540000000.00,1550540000000.00
2112,1.55E+12,19/02/2019 02:30:11,1.55E+12,8,19/02/2019 10:30:14,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,89,40,0.7,high-low,low,12,null,fishing_l,null,88.74799986,1550540000000.00,1550540000000.00
2113,1.55E+12,19/02/2019 02:30:11,1.55E+12,8,19/02/2019 10:30:14,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,90,40,0.7,high-low,low,12,null,fishing_l,null,90.20800004,1550540000000.00,1550540000000.00
2114,1.55E+12,19/02/2019 02:30:12,1.55E+12,8,19/02/2019 10:30:14,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,134,40,0.7,high-low,low,12,null,fishing_l,null,134.5299999,1550540000000.00,1550540000000.00
2115,1.55E+12,19/02/2019 02:30:12,1.55E+12,8,19/02/2019 10:30:15,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,89,40,0.7,high-low,low,12,null,fishing_l,null,89.14800012,1550540000000.00,1550540000000.00
