Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round instance,task,function id,rod fixing checked,builtin rt,end_time,start_time
56,1.55032E+12,16/02/2019 13:47:55,1.55032E+12,0,16/02/2019 13:47:52,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,386,40,0.3,high-low,high,11,fishing,fishing_h,,384.995,1550324872698.00,1550324872312.00
57,1.55032E+12,16/02/2019 13:47:55,1.55032E+12,0,16/02/2019 13:47:53,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,122,40,0.3,high-low,high,11,fishing,fishing_h,,120.045,1550324872924.00,1550324872802.00
58,1.55032E+12,16/02/2019 13:47:55,1.55032E+12,0,16/02/2019 13:47:53,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,142,40,0.3,high-low,high,11,fishing,fishing_h,,141.825,1550324873171.00,1550324873029.00
59,1.55032E+12,16/02/2019 13:47:55,1.55032E+12,0,16/02/2019 13:47:53,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,124,40,0.3,high-low,high,11,fishing,fishing_h,,123.96,1550324873402.00,1550324873278.00
60,1.55032E+12,16/02/2019 13:47:56,1.55032E+12,0,16/02/2019 13:47:53,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,143,40,0.3,high-low,high,11,fishing,fishing_h,,142.12,1550324873650.00,1550324873507.00
61,1.55032E+12,16/02/2019 13:47:56,1.55032E+12,0,16/02/2019 13:47:53,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,133,40,0.3,high-low,high,11,fishing,fishing_h,,133.26,1550324873889.00,1550324873756.00
62,1.55032E+12,16/02/2019 13:47:56,1.55032E+12,0,16/02/2019 13:47:54,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,22,null,0.3,high-low,high,11,fishing,fishing_h,,null,1550324874017.00,1550324873995.00
63,1.55032E+12,16/02/2019 13:47:56,1.55032E+12,0,16/02/2019 13:47:54,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,,,,high-low,high,11,,caller,,,,
64,1.55032E+12,16/02/2019 13:47:56,1.55032E+12,0,16/02/2019 13:47:54,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,,,,high-low,high,11,,caller,,,,
65,1.55032E+12,16/02/2019 13:47:56,1.55032E+12,0,16/02/2019 13:47:54,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,,,,high-low,high,11,,caller,,,,
