Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,reaction time,stimulus,button pressed
2,1551894700283,06/03/2019 17:51:40,1551894701501,0,06/03/2019 17:51:41,6138,31,task-jgum,,2280555,5c40dea5f374a90001622c8e,621759,,complete,,5c8007e316fe5f0001f841fb,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,3045.2599999844097,/task/29849/3/asset/Dog.mp3,1
3,1551894703094,06/03/2019 17:51:43,1551894704333,0,06/03/2019 17:51:44,6138,31,task-jgum,,2280555,5c40dea5f374a90001622c8e,621759,,complete,,5c8007e316fe5f0001f841fb,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2828.57499999227,/task/29849/3/asset/Owl.mp3,0
4,1551894705141,06/03/2019 17:51:45,1551894706392,0,06/03/2019 17:51:46,6138,31,task-jgum,,2280555,5c40dea5f374a90001622c8e,621759,,complete,,5c8007e316fe5f0001f841fb,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x625,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2056.7299999529496,/task/29849/3/asset/Goat.mp3,0
1,1551894726070,06/03/2019 17:52:06,1551894724707,0,06/03/2019 17:52:04,6138,31,task-jgum,,2280570,5c59f7cb4eea0b00017c9317,621761,,complete,,5c80084ebaf0670015b60800,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,11613.900238159527,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894731023,06/03/2019 17:52:11,1551894729708,0,06/03/2019 17:52:09,6138,31,task-jgum,,2280570,5c59f7cb4eea0b00017c9317,621761,,complete,,5c80084ebaf0670015b60800,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,4943.200111669277,/task/29849/3/asset/Dog.mp3,1
3,1551894733455,06/03/2019 17:52:13,1551894732155,0,06/03/2019 17:52:12,6138,31,task-jgum,,2280570,5c59f7cb4eea0b00017c9317,621761,,complete,,5c80084ebaf0670015b60800,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2443.4000600384024,/task/29849/3/asset/Owl.mp3,0
4,1551894735650,06/03/2019 17:52:15,1551894734346,0,06/03/2019 17:52:14,6138,31,task-jgum,,2280570,5c59f7cb4eea0b00017c9317,621761,,complete,,5c80084ebaf0670015b60800,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1366x768,1366x651,after questionnairs,HeadphonesCheck,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,2188.8000349235954,/task/29849/3/asset/Goat.mp3,0
1,1551894809435,06/03/2019 17:53:29,1551894809279,0,06/03/2019 17:53:29,6138,31,task-jgum,,2280597,5c658b1c2ff6e000018bfa94,621770,,complete,,5c8008882d63590016fd7a65,computer,Desktop or Laptop,Mac OS 10.12.6,Safari 12.0.1,1440x900,1440x837,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,5275,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1551894813103,06/03/2019 17:53:33,1551894812983,0,06/03/2019 17:53:32,6138,31,task-jgum,,2280597,5c658b1c2ff6e000018bfa94,621770,,complete,,5c8008882d63590016fd7a65,computer,Desktop or Laptop,Mac OS 10.12.6,Safari 12.0.1,1440x900,1440x837,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,3690,/task/29849/3/asset/Dog.mp3,1
3,1551894814918,06/03/2019 17:53:34,1551894814865,0,06/03/2019 17:53:34,6138,31,task-jgum,,2280597,5c658b1c2ff6e000018bfa94,621770,,complete,,5c8008882d63590016fd7a65,computer,Desktop or Laptop,Mac OS 10.12.6,Safari 12.0.1,1440x900,1440x837,after questionnairs,HeadphonesCheck,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,1879,/task/29849/3/asset/Owl.mp3,0
