Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round_instance,task,function id,rod fixing checked,builtin_rt,end_time,start_time
45,1551625618423,03/03/2019 15:06:58,1551625611727,0,03/03/2019 15:06:51,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,143,40,1.8,low-high,low,11,fishing,fishing_l,null,142.51499995589256,1551625611626,1551625611483
46,1551625618423,03/03/2019 15:06:58,1551625611968,0,03/03/2019 15:06:51,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,136,40,1.8,low-high,low,11,fishing,fishing_l,null,136.19999994989485,1551625611866,1551625611730
47,1551625618423,03/03/2019 15:06:58,1551625612210,0,03/03/2019 15:06:52,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,138,40,1.8,low-high,low,11,fishing,fishing_l,null,138.13500001560897,1551625612108,1551625611970
48,1551625618423,03/03/2019 15:06:58,1551625612451,0,03/03/2019 15:06:52,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,138,40,1.8,low-high,low,11,fishing,fishing_l,null,137.89499993436038,1551625612349,1551625612211
49,1551625618423,03/03/2019 15:06:58,1551625612683,0,03/03/2019 15:06:52,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,128,40,1.8,low-high,low,11,fishing,fishing_l,null,128.00000002607703,1551625612580,1551625612452
50,1551625618485,03/03/2019 15:06:58,1551625612944,0,03/03/2019 15:06:52,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,157,40,1.8,low-high,low,11,fishing,fishing_l,null,156.30999999120831,1551625612842,1551625612685
51,1551625618485,03/03/2019 15:06:58,1551625613192,0,03/03/2019 15:06:53,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,142,40,1.8,low-high,low,11,fishing,fishing_l,null,142.05499994568527,1551625613089,1551625612947
52,1551625618485,03/03/2019 15:06:58,1551625613443,0,03/03/2019 15:06:53,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,145,40,1.8,low-high,low,11,fishing,fishing_l,null,145.06000000983477,1551625613340,1551625613195
53,1551625618485,03/03/2019 15:06:58,1551625613681,0,03/03/2019 15:06:53,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,134,40,1.8,low-high,low,11,fishing,fishing_l,null,132.9550000373274,1551625613579,1551625613445
54,1551625618485,03/03/2019 15:06:58,1551625613937,0,03/03/2019 15:06:53,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,150,40,1.8,low-high,low,11,fishing,fishing_l,null,150.18499991856515,1551625613834,1551625613684
55,1551625618485,03/03/2019 15:06:58,1551625614190,0,03/03/2019 15:06:54,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,150,40,1.8,low-high,low,11,fishing,fishing_l,null,149.86500004306436,1551625614088,1551625613938
56,1551625618485,03/03/2019 15:06:58,1551625614414,0,03/03/2019 15:06:54,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,null,null,1.8,low-high,low,11,fishing,fishing_l,null,null,null,1551625614193
57,1551625618485,03/03/2019 15:06:58,1551625614418,0,03/03/2019 15:06:54,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,,,1.8,low-high,low,11,fishing,fishing_l,null,,,
58,1551625618485,03/03/2019 15:06:58,1551625614421,0,03/03/2019 15:06:54,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,,,1.8,low-high,low,11,fishing,fishing_l,null,,,
59,1551625618485,03/03/2019 15:06:58,1551625614425,0,03/03/2019 15:06:54,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,,,1.8,low-high,low,11,fishing,fishing_l,null,,,
60,1551625618485,03/03/2019 15:06:58,1551625614430,0,03/03/2019 15:06:54,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,,,1.8,low-high,low,11,fishing,fishing_l,null,,,
61,1551625618485,03/03/2019 15:06:58,1551625614434,0,03/03/2019 15:06:54,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,,,1.8,low-high,low,11,fishing,fishing_l,null,,,
62,1551625618485,03/03/2019 15:06:58,1551625614708,0,03/03/2019 15:06:54,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,171,40,1.8,low-high,low,11,fishing,fishing_l,null,170.19500001333654,1551625614607,1551625614436
